unmapped_index,technology_name,linked_entity_id,tech_id,process_id,geographic_scope,temporal_scope,capacity_scope,system_boundary,source_ids,date_mapped
78,Syngas_COHydro_MeOH,LE_00079,TECH_00043,PROC_00028,ECA,2030,,Plant ready to operate,"[""SRC_00016"", ""SRC_00002""]",2026-06-23
79,Syngas_COHydro_MeOH,LE_00080,TECH_00043,PROC_00028,ECA,2040,,Plant ready to operate,"[""SRC_00016"", ""SRC_00002""]",2026-06-23
80,Syngas_COHydro_MeOH,LE_00081,TECH_00043,PROC_00028,ECA,2050,,Plant ready to operate,"[""SRC_00016"", ""SRC_00002""]",2026-06-23
81,MSW_Gasification_Syngas,LE_00082,TECH_00044,PROC_00032,ECA,2030,,Plant ready to operate,"[""SRC_00007""]",2026-06-23
82,MSW_Gasification_H2,LE_00083,TECH_00045,PROC_00032,ECA,2030,,Plant ready to operate,"[""SRC_00007""]",2026-06-23
83,Wood_Gasification_H2,LE_00084,TECH_00046,PROC_00032,ECA,2030,,Plant ready to operate,"[""SRC_00022"", ""SRC_00007""]",2026-06-23
84,Wood_Gasification_Syngas,LE_00085,TECH_00047,PROC_00032,ECA,2030,,Plant ready to operate,"[""SRC_00007""]",2026-06-23
85,MeOH_MtJ_C12,LE_00086,TECH_00048,PROC_00033,ECA,2030,,Plant ready to operate,[],2026-06-23
86,MeOH_MtJ_C12,LE_00087,TECH_00048,PROC_00033,ECA,2050,,Plant ready to operate,[],2026-06-23
87,El_CoElectrolysis_Syngas,LE_00088,TECH_00049,PROC_00034,ECA,2030,,Plant ready to operate,[],2026-06-23
88,El_CoElectrolysis_Syngas,LE_00089,TECH_00049,PROC_00034,ECA,2050,,Plant ready to operate,[],2026-06-23
89,CH4_Pyrolysis_H2,LE_00090,TECH_00050,PROC_00035,ECA,2030,,Plant ready to operate,[],2026-06-23
90,CH4_Pyrolysis_H2,LE_00091,TECH_00050,PROC_00035,ECA,2050,,Plant ready to operate,[],2026-06-23
91,CO2Flue_AmineScrub_CO2,LE_00092,TECH_00051,PROC_00036,ECA,2025,20000 kg/h,Plant extension ready to operate,"[""SRC_00023""]",2026-06-23
92,BioWet_Pyrolysis_Biochar,LE_00093,TECH_00052,PROC_00037,ECA,2025,,Plant ready to operate,"[""SRC_00024""]",2026-06-23
93,Air_DAC_CO2,LE_00094,TECH_00053,PROC_00038,ECA,2030,,Plant ready to operate,"[""SRC_00019""]",2026-06-23
94,Air_DAC_CO2,LE_00095,TECH_00053,PROC_00038,ECA,2050,,Plant ready to operate,"[""SRC_00019""]",2026-06-23
95,CO2Flue_PSA_CO2,LE_00096,TECH_00054,PROC_00039,ECA,2030,20000 kg/h,Plant extension ready to operate,"[""SRC_00023""]",2026-06-23
96,CO2Flue_PSA_CO2,LE_00097,TECH_00054,PROC_00039,ECA,2040,20000 kg/h,Plant extension ready to operate,"[""SRC_00023""]",2026-06-23
97,CO2Flue_PSA_CO2,LE_00098,TECH_00054,PROC_00039,ECA,2050,20000 kg/h,Plant extension ready to operate,"[""SRC_00023""]",2026-06-23
98,Wood_Pyrolysis_Biochar,LE_00099,TECH_00055,PROC_00037,ECA,2025,,Plant ready to operate,"[""SRC_00024"", ""SRC_00025""]",2026-06-23
